CountryCode,question,"Never,b","Less often,b","One to three times a month,b","At least once a week,b","Every day or almost every day,b","Never,f","Less often,f","One to three times a month,f","At least once a week,f","Every day or almost every day,f","Never,m","Less often,m","One to three times a month,m","At least once a week,m","Every day or almost every day,m"
FI,Face-to-face contact with friends or neighbours living outside the household,0.2,4.8,9.8,33.6,51.6,0.2,7,9.9,32,51,0.3,2.5,9.7,35.2,52.2
FR,Face-to-face contact with friends or neighbours living outside the household,1.7,7.2,13.7,39.9,37.6,1.7,7.1,13.7,39.3,38.2,1.7,7.2,13.7,40.6,36.9
HR,Face-to-face contact with friends or neighbours living outside the household,0.3,3.8,4.2,25.2,66.5,0.2,4.4,5,25.4,65.1,0.3,3.3,3.3,25.1,68
HU,Face-to-face contact with friends or neighbours living outside the household,1.8,5.7,8.3,33.9,50.3,1.5,5.8,7.9,33,51.7,2.2,5.5,8.7,34.9,48.7
IE,Face-to-face contact with friends or neighbours living outside the household,0.9,3.9,6.1,36.3,52.8,0.6,3.9,6.3,36.1,53.1,1.1,4,5.9,36.5,52.4
IT,Face-to-face contact with friends or neighbours living outside the household,0.7,4.7,9.5,38,47.1,0.6,4.8,8.7,40,45.9,0.9,4.5,10.4,35.9,48.3
LT,Face-to-face contact with friends or neighbours living outside the household,0.8,4.6,8.7,35.1,50.7,0.9,5.6,10.2,35.5,47.8,0.8,3.4,7,34.7,54.1
LU,Face-to-face contact with friends or neighbours living outside the household,1.4,6.1,15.6,43,33.9,2.5,7.1,16.5,45,28.9,0.3,5.1,14.8,40.8,39.1
LV,Face-to-face contact with friends or neighbours living outside the household,1.2,7.1,11.7,32.5,47.4,1.9,6.2,12.1,31.5,48.3,0.5,8.1,11.2,33.8,46.5
MT,Face-to-face contact with friends or neighbours living outside the household,2.5,9.7,6.2,31.9,49.7,3,8.2,7.8,34.5,46.5,1.9,11.2,4.6,29.3,52.9
NL,Face-to-face contact with friends or neighbours living outside the household,1.4,5.7,13.5,46.6,32.8,1.5,4.7,13.6,45.6,34.6,1.2,6.8,13.4,47.7,30.9
PL,Face-to-face contact with friends or neighbours living outside the household,1.2,8.2,13.7,32.6,44.3,1.5,8.4,13.6,32.5,43.9,0.9,8,13.7,32.6,44.8
PT,Face-to-face contact with friends or neighbours living outside the household,1.2,5.1,7.5,28.9,57.4,1.3,4,7.3,31.9,55.4,1,6.2,7.7,25.5,59.6
RO,Face-to-face contact with friends or neighbours living outside the household,1,7.1,3.7,20.6,67.6,0.9,9.1,4.4,21.2,64.5,1.1,5,3,20,70.9
SE,Face-to-face contact with friends or neighbours living outside the household,0.6,5.9,14.7,41.6,37.1,0.8,6.9,15.2,40.7,36.3,0.3,5,14.2,42.5,38
SI,Face-to-face contact with friends or neighbours living outside the household,0.5,3,9.8,37.7,49.1,0.9,2,11.2,42.2,43.8,0.1,4.1,8.4,32.9,54.6
SK,Face-to-face contact with friends or neighbours living outside the household,0.4,7.3,14.7,44,33.6,0.7,7.6,16.5,43.2,32,,7,12.8,44.9,35.4
UK,Face-to-face contact with friends or neighbours living outside the household,1.4,6,7.6,37.3,47.7,1.2,5.5,8,38.2,47,1.6,6.4,7.2,36.4,48.4
